time,open,high,low,close,tick_volume,spread,real_volume
2015-10-01 00:00:00+00:00,119.871,121.485,118.058,120.603,3012755,8,4090837905000
2015-11-01 00:00:00+00:00,120.385,123.751,120.252,123.1,2475118,6,3396417474000
2015-12-01 00:00:00+00:00,123.1,123.667,119.999,120.207,2612167,5,3027191449000
2016-01-01 00:00:00+00:00,120.196,121.686,115.97,121.119,3718872,4,3795381303000
2016-02-01 00:00:00+00:00,121.314,121.482,110.979,112.669,4195717,9,4057560646000
2016-03-01 00:00:00+00:00,112.666,114.55,110.664,112.571,3110296,4,3598153749000
2016-04-01 00:00:00+00:00,112.549,112.58,106.274,106.334,2987784,9,3852503691000
2016-05-01 00:00:00+00:00,106.223,111.445,105.545,110.707,2779127,9,3642722460000
2016-06-01 00:00:00+00:00,110.707,110.827,98.935,103.176,3743799,9,5074103811000
2016-07-01 00:00:00+00:00,103.19,107.488,99.988,102.04,3347531,9,4721397051000
2016-08-01 00:00:00+00:00,102.212,103.528,99.536,103.414,2773697,9,3139567023000
2016-09-01 00:00:00+00:00,103.41,104.316,100.081,101.322,3006085,9,3101220245000
2016-10-01 00:00:00+00:00,101.208,105.528,101.125,104.761,2610509,9,2303890116000
2016-11-01 00:00:00+00:00,104.76,114.534,101.186,114.444,4137941,9,3395450253000
2016-12-01 00:00:00+00:00,114.406,118.659,112.859,116.814,3138770,9,2134848959000
2017-01-01 00:00:00+00:00,116.78,118.602,112.076,112.784,4078085,9,3387987380000
2017-02-01 00:00:00+00:00,112.771,114.953,111.588,112.752,3036675,9,3035094295000
2017-03-01 00:00:00+00:00,112.733,115.5,110.106,111.264,3407014,9,3312452482000
2017-04-01 00:00:00+00:00,111.355,111.774,108.129,111.528,2738639,9,2692717396000
2017-05-01 00:00:00+00:00,111.207,114.365,110.231,110.777,2812495,9,2870361375000
2017-06-01 00:00:00+00:00,110.777,112.922,108.805,112.361,2231756,9,232847827000
2017-07-01 00:00:00+00:00,112.112,114.49,110.21,110.253,2373389,9,0
2017-08-01 00:00:00+00:00,110.243,111.046,108.264,109.955,2823889,9,0
2017-09-01 00:00:00+00:00,109.978,113.256,107.314,112.445,2447103,1,1867893000
2017-10-01 00:00:00+00:00,112.505,114.451,111.653,113.634,2156623,1,0
2017-11-01 00:00:00+00:00,113.629,114.734,110.841,112.527,2208538,1,0
2017-12-01 00:00:00+00:00,112.527,113.75,111.401,112.695,2340170,1,0
2018-01-01 00:00:00+00:00,112.503,113.386,108.282,109.185,3536296,1,0
2018-02-01 00:00:00+00:00,109.184,110.482,105.545,106.662,4383927,1,0
2018-03-01 00:00:00+00:00,106.662,107.292,104.628,106.279,3590976,1,0
2018-04-01 00:00:00+00:00,106.165,109.536,105.656,109.327,1668456,1,0
2018-05-01 00:00:00+00:00,109.341,111.395,108.111,108.802,1918883,1,0
2018-06-01 00:00:00+00:00,108.802,110.943,108.72,110.756,1591622,1,0
2018-07-01 00:00:00+00:00,110.585,113.167,110.275,111.862,1765933,1,0
2018-08-01 00:00:00+00:00,111.814,112.147,109.77,111.089,1368137,3,0
2018-09-01 00:00:00+00:00,111.051,113.703,110.376,113.671,1084869,3,0
2018-10-01 00:00:00+00:00,113.696,114.546,111.374,112.928,2042765,3,0
2018-11-01 00:00:00+00:00,112.928,114.203,112.3,113.471,1436578,3,0
2018-12-01 00:00:00+00:00,113.689,113.817,109.553,109.603,1808469,3,0
2019-01-01 00:00:00+00:00,109.424,109.995,104.72,108.853,1782646,3,0
2019-02-01 00:00:00+00:00,108.851,111.49,108.72,111.373,1158947,3,0
2019-03-01 00:00:00+00:00,111.378,112.132,109.704,110.81,1322527,1,0
2019-04-01 00:00:00+00:00,110.994,112.396,110.804,111.419,1041283,3,0
2019-05-01 00:00:00+00:00,111.428,111.691,108.274,108.276,1499099,2,0
2019-06-01 00:00:00+00:00,108.27,108.797,106.774,107.917,1378184,3,0
2019-07-01 00:00:00+00:00,107.914,108.999,107.209,108.75,997812,3,0
2019-08-01 00:00:00+00:00,108.769,109.317,104.449,106.253,2007037,2,0
2019-09-01 00:00:00+00:00,106.027,108.475,105.735,108.07,1338024,2,0
2019-10-01 00:00:00+00:00,108.07,109.285,106.48,108.019,1213340,2,0
2019-11-01 00:00:00+00:00,108.019,109.669,107.884,109.487,800424,2,0
2019-12-01 00:00:00+00:00,109.517,109.726,108.427,108.637,866453,1,0
2020-01-01 00:00:00+00:00,108.732,110.291,107.651,108.355,1144623,1,0
2020-02-01 00:00:00+00:00,108.462,112.227,107.51,108.062,1506392,1,0
2020-03-01 00:00:00+00:00,107.4,111.713,101.182,107.525,4517245,1,0
2020-04-01 00:00:00+00:00,107.525,109.382,106.358,107.145,1711120,1,0
2020-05-01 00:00:00+00:00,107.145,108.086,105.987,107.79,1036471,1,0
2020-06-01 00:00:00+00:00,107.657,109.849,106.073,107.921,1568383,1,0
2020-07-01 00:00:00+00:00,107.922,108.163,104.186,105.929,1242921,1,0
