time,price,type
2024-11-22 04:11:00,154.496,high
2024-11-22 04:32:00,154.349,low
2024-11-22 04:40:00,154.492,high
2024-11-22 05:01:00,154.354,low
2024-11-22 05:15:00,154.484,high
2024-11-22 05:40:00,154.186,low
2024-11-22 08:51:00,154.958,high
2024-11-22 09:22:00,154.702,low
2024-11-22 09:33:00,154.912,high
2024-11-22 09:56:00,154.657,low
2024-11-22 10:06:00,154.869,high
2024-11-22 10:39:00,154.4,low
2024-11-22 11:16:00,154.822,high
2024-11-22 11:47:00,154.251,low
2024-11-22 12:07:00,154.553,high
2024-11-22 12:27:00,154.253,low
2024-11-22 12:50:00,154.401,high
2024-11-22 12:57:00,154.273,low
2024-11-22 13:29:00,154.47,high
2024-11-22 14:00:00,154.292,low
2024-11-22 15:11:00,154.566,high
2024-11-22 15:42:00,154.191,low
2024-11-22 16:48:00,155.024,high
2024-11-22 17:10:00,154.651,low
2024-11-22 17:20:00,154.888,high
2024-11-22 17:51:00,154.624,low
2024-11-22 18:00:00,154.92,high
2024-11-22 18:16:00,154.803,low
2024-11-22 18:40:00,154.922,high
2024-11-22 19:02:00,154.689,low
2024-11-22 19:18:00,154.811,high
2024-11-22 19:32:00,154.674,low
2024-11-22 19:48:00,154.826,high
2024-11-22 20:21:00,154.717,low
2024-11-22 20:34:00,154.808,high
2024-11-22 21:09:00,154.663,low
2024-11-22 22:47:00,154.884,high
2024-11-22 23:00:00,154.798,low
2024-11-22 23:23:00,154.839,high
2024-11-25 00:00:00,154.093,low
2024-11-25 00:33:00,154.353,high
2024-11-25 01:00:00,154.14,low
2024-11-25 01:01:00,154.388,high
2024-11-25 01:41:00,154.053,low
2024-11-25 01:48:00,154.197,high
2024-11-25 02:19:00,153.817,low
2024-11-25 03:05:00,154.236,high
2024-11-25 03:51:00,153.648,low
2024-11-25 03:58:00,153.803,high
2024-11-25 03:51:00,153.648,low
2024-11-25 04:25:00,153.758,high
2024-11-25 04:39:00,153.548,low
2024-11-25 04:56:00,153.806,high
2024-11-25 05:18:00,153.631,low
2024-11-25 06:23:00,154.17,high
2024-11-25 06:38:00,153.989,low
2024-11-25 07:51:00,154.399,high
2024-11-25 08:01:00,154.182,low
2024-11-25 08:30:00,154.48,high
2024-11-25 09:11:00,154.186,low
2024-11-25 09:23:00,154.363,high
2024-11-25 09:38:00,154.154,low
2024-11-25 10:04:00,154.673,high
2024-11-25 10:29:00,154.483,low
2024-11-25 10:46:00,154.724,high
2024-11-25 11:19:00,154.516,low
2024-11-25 11:27:00,154.638,high
2024-11-25 11:57:00,154.357,low
2024-11-25 12:14:00,154.478,high
2024-11-25 12:35:00,154.347,low
2024-11-25 12:46:00,154.448,high
2024-11-25 13:21:00,154.315,low
2024-11-25 14:23:00,154.565,high
2024-11-25 15:26:00,153.755,low
2024-11-25 16:06:00,154.023,high
2024-11-25 16:30:00,153.626,low
2024-11-25 16:44:00,153.893,high
2024-11-25 17:01:00,153.645,low
2024-11-25 17:16:00,153.997,high
2024-11-25 17:36:00,153.764,low
2024-11-25 18:24:00,154.45,high
2024-11-25 18:36:00,154.282,low
2024-11-25 18:46:00,154.52,high
2024-11-25 19:03:00,154.272,low
2024-11-25 19:19:00,154.387,high
2024-11-25 19:38:00,154.225,low
2024-11-25 19:57:00,154.363,high
2024-11-25 20:15:00,154.17,low
2024-11-25 20:27:00,154.271,high
