,sml_detection_time,sml_pivot_time,sml_pivot_value,sml_pivot_type
227,2025-02-18 02:39:00+00:00,2025-02-18 02:39:00+00:00,151.711,1.0
228,2025-02-18 02:44:00+00:00,2025-02-18 02:41:00+00:00,151.625,0.0
229,2025-02-18 02:46:00+00:00,2025-02-18 02:45:00+00:00,151.704,1.0
230,2025-02-18 02:50:00+00:00,2025-02-18 02:46:00+00:00,151.638,0.0
231,2025-02-18 02:52:00+00:00,2025-02-18 02:50:00+00:00,151.717,1.0
232,2025-02-18 02:57:00+00:00,2025-02-18 02:53:00+00:00,151.591,0.0
233,2025-02-18 03:03:00+00:00,2025-02-18 03:00:00+00:00,151.721,1.0
234,2025-02-18 03:07:00+00:00,2025-02-18 03:05:00+00:00,151.597,0.0
235,2025-02-18 03:11:00+00:00,2025-02-18 03:08:00+00:00,151.733,1.0
236,2025-02-18 03:14:00+00:00,2025-02-18 03:12:00+00:00,151.619,0.0
237,2025-02-18 03:24:00+00:00,2025-02-18 03:19:00+00:00,151.791,1.0
238,2025-02-18 03:28:00+00:00,2025-02-18 03:27:00+00:00,151.725,0.0
239,2025-02-18 03:32:00+00:00,2025-02-18 03:32:00+00:00,151.79,1.0
240,2025-02-18 03:34:00+00:00,2025-02-18 03:33:00+00:00,151.733,0.0
241,2025-02-18 03:39:00+00:00,2025-02-18 03:36:00+00:00,151.799,1.0
242,2025-02-18 03:45:00+00:00,2025-02-18 03:43:00+00:00,151.708,0.0
243,2025-02-18 03:48:00+00:00,2025-02-18 03:46:00+00:00,151.77,1.0
244,2025-02-18 03:55:00+00:00,2025-02-18 03:51:00+00:00,151.683,0.0
245,2025-02-18 04:01:00+00:00,2025-02-18 04:00:00+00:00,151.759,1.0
246,2025-02-18 04:05:00+00:00,2025-02-18 04:01:00+00:00,151.69,0.0
247,2025-02-18 04:10:00+00:00,2025-02-18 04:06:00+00:00,151.787,1.0
248,2025-02-18 04:21:00+00:00,2025-02-18 04:15:00+00:00,151.712,0.0
249,2025-02-18 04:30:00+00:00,2025-02-18 04:27:00+00:00,151.829,1.0
250,2025-02-18 04:34:00+00:00,2025-02-18 04:31:00+00:00,151.797,0.0
251,2025-02-18 04:47:00+00:00,2025-02-18 04:39:00+00:00,151.854,1.0
252,2025-02-18 04:56:00+00:00,2025-02-18 04:52:00+00:00,151.782,0.0
253,2025-02-18 05:02:00+00:00,2025-02-18 04:59:00+00:00,151.847,1.0
254,2025-02-18 05:05:00+00:00,2025-02-18 05:02:00+00:00,151.797,0.0
255,2025-02-18 05:21:00+00:00,2025-02-18 05:18:00+00:00,151.983,1.0
256,2025-02-18 05:26:00+00:00,2025-02-18 05:25:00+00:00,151.923,0.0
257,2025-02-18 05:29:00+00:00,2025-02-18 05:27:00+00:00,151.955,1.0
