time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,up_down,pivot
2025-02-17 18:16:00,151.409,151.419,151.404,151.409,75,2,0,151.38074999999998,True,
2025-02-17 18:17:00,151.409,151.419,151.407,151.416,52,1,0,151.38405,True,
2025-02-17 18:18:00,151.416,151.423,151.416,151.423,41,1,0,151.38705,True,
2025-02-17 18:19:00,151.423,151.429,151.416,151.424,29,0,0,151.38995,True,
2025-02-17 18:20:00,151.424,151.435,151.42,151.421,39,0,0,151.39255,True,
2025-02-17 18:21:00,151.421,151.422,151.416,151.421,21,0,0,151.3951,True,
2025-02-17 18:22:00,151.421,151.433,151.411,151.432,42,0,0,151.39755,True,
2025-02-17 18:23:00,151.432,151.433,151.42,151.43,27,0,0,151.3998,True,
2025-02-17 18:24:00,151.43,151.431,151.404,151.406,50,0,0,151.4004,True,
2025-02-17 18:25:00,151.406,151.408,151.403,151.407,16,0,0,151.4029,True,
2025-02-17 18:26:00,151.407,151.432,151.407,151.432,23,1,0,151.40625,True,
2025-02-17 18:27:00,151.432,151.44,151.425,151.439,28,0,0,151.4095,True,
2025-02-17 18:28:00,151.439,151.439,151.416,151.42,22,1,0,151.41129999999998,True,
2025-02-17 18:29:00,151.42,151.42,151.404,151.41,42,0,0,151.4125,True,
2025-02-17 18:30:00,151.41,151.413,151.409,151.411,27,0,0,151.4133,True,
2025-02-17 18:31:00,151.411,151.414,151.406,151.408,60,2,0,151.4143,True,
2025-02-17 18:32:00,151.408,151.41,151.395,151.405,24,1,0,151.4151,True,
2025-02-17 18:33:00,151.406,151.406,151.397,151.399,17,2,0,151.41575,True,
2025-02-17 18:34:00,151.399,151.418,151.399,151.415,23,1,0,151.41685,True,
2025-02-17 18:35:00,151.415,151.422,151.415,151.419,17,1,0,151.41735,True,
2025-02-17 18:36:00,151.419,151.421,151.415,151.418,20,2,0,151.4178,True,
2025-02-17 18:37:00,151.418,151.421,151.41,151.413,18,2,0,151.41765,False,
2025-02-17 18:38:00,151.413,151.413,151.383,151.384,29,1,0,151.41570000000002,False,
2025-02-17 18:39:00,151.384,151.399,151.384,151.397,14,0,0,151.41435,False,
2025-02-17 18:40:00,151.397,151.418,151.397,151.413,42,0,0,151.41395,False,
2025-02-17 18:41:00,151.413,151.429,151.408,151.422,63,0,0,151.41400000000002,True,
